instance,time_limit,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,mean,std,best
p14d,30,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,0.000,144.633
p14d,60,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,144.633,0.000,144.633
p15d,0,119.742,103.861,116.992,120.031,121.760,127.064,104.935,129.298,137.803,119.180,120.067,9.765,103.861
p15d,15,91.010,98.407,90.998,91.038,90.007,91.038,91.038,90.517,90.640,91.038,91.573,2.301,90.007
p15d,30,90.640,98.407,90.998,91.010,89.695,90.007,91.038,89.808,89.695,90.951,91.225,2.456,89.695
p15d,60,89.695,98.407,90.360,90.360,89.695,89.695,90.427,89.695,89.695,89.952,90.798,2.554,89.695
p16d,0,115.341,95.365,105.217,95.495,98.633,120.847,109.586,112.752,108.162,109.487,107.089,8.059,95.365
p16d,15,81.521,79.974,81.952,82.170,81.916,80.675,81.763,79.974,80.531,81.342,81.182,0.787,79.974
p16d,30,80.734,79.966,80.713,80.005,80.250,79.891,81.287,79.974,80.531,79.936,80.329,0.446,79.891
p16d,60,79.974,79.966,80.531,79.891,79.974,79.891,80.731,79.974,79.974,79.891,80.080,0.281,79.891
p17d,0,81.223,92.477,90.972,93.553,80.604,97.791,125.583,77.118,122.281,95.520,95.712,15.569,77.118
p17d,15,70.165,72.883,70.671,77.820,72.086,70.181,72.883,70.827,72.004,70.265,71.979,2.197,70.165
p17d,30,70.118,72.883,70.181,77.820,70.265,70.118,71.130,70.265,71.442,70.265,71.449,2.283,70.118
p17d,60,70.118,70.118,70.118,77.820,70.118,70.118,70.265,70.118,70.118,70.265,70.918,2.302,70.118
p18d,0,95.868,115.688,96.883,88.056,101.780,150.013,85.060,97.837,170.423,95.945,109.755,26.781,85.060
p18d,15,80.000,73.376,77.253,76.551,86.093,82.219,74.243,73.376,80.324,72.749,77.618,4.223,72.749
p18d,30,80.000,73.376,77.253,76.551,86.093,82.219,74.243,73.376,80.324,72.498,77.593,4.253,72.498
p18d,60,80.000,73.376,77.253,76.551,86.093,82.219,74.243,73.376,80.324,72.498,77.593,4.253,72.498
p19d,0,83.773,99.638,85.510,92.195,124.724,77.637,81.914,92.510,82.801,132.981,95.368,17.883,77.637
p19d,15,65.468,66.180,77.820,73.349,71.694,74.726,72.801,66.434,65.635,68.819,70.293,4.158,65.468
p19d,30,65.468,65.299,77.820,73.349,71.694,74.726,72.801,65.958,65.418,68.819,70.135,4.320,65.299
p19d,60,65.468,65.299,77.820,73.349,71.694,74.726,72.801,65.468,65.299,68.819,70.074,4.382,65.299
p20d,0,99.663,109.650,99.616,91.494,107.689,110.031,102.554,104.459,109.333,90.997,102.549,6.746,90.997
p20d,15,82.873,74.059,73.755,73.755,74.463,74.759,81.609,73.755,73.308,73.649,75.599,3.356,73.308
p20d,30,82.873,72.281,72.100,73.755,74.379,72.297,81.609,73.755,72.136,72.582,74.777,3.819,72.100
p20d,60,82.873,71.713,71.655,71.285,71.841,72.072,81.609,72.582,72.136,72.070,73.984,4.151,71.285
p21d,0,128.763,150.333,134.536,154.984,127.577,156.179,147.105,122.066,102.956,137.768,136.227,15.844,102.956
p21d,15,85.276,91.761,97.016,90.443,91.761,84.095,89.376,94.826,98.326,102.176,92.506,5.397,84.095
p21d,30,85.276,91.761,97.016,90.443,91.761,84.095,89.376,94.826,98.326,102.176,92.506,5.397,84.095
p21d,60,85.276,91.761,97.016,90.443,91.761,84.095,89.376,94.826,98.326,102.176,92.506,5.397,84.095
p22d,0,120.830,103.942,114.070,114.018,98.110,157.290,134.536,124.740,130.138,97.673,119.535,17.413,97.673
p22d,15,96.208,83.738,91.411,96.333,86.556,94.340,92.477,91.411,78.588,97.673,90.873,5.832,78.588
p22d,30,96.208,83.738,91.411,96.333,86.556,94.340,92.477,91.411,78.588,97.673,90.873,5.832,78.588
p22d,60,96.208,83.738,91.411,96.333,86.556,94.340,92.477,91.411,78.588,97.673,90.873,5.832,78.588
p23d,0,82.366,131.529,92.418,103.871,90.099,75.130,89.644,96.166,85.440,88.557,93.522,14.626,75.130
p23d,15,52.782,52.633,63.151,63.151,52.485,52.693,60.828,53.806,57.306,59.059,56.789,4.245,52.485
p23d,30,51.598,51.639,63.151,63.151,50.480,50.533,60.828,51.236,57.306,59.059,55.898,5.079,50.480
p23d,60,50.092,50.456,63.151,63.151,49.898,50.438,60.828,50.582,57.306,59.059,55.496,5.452,49.898
