config,instance,seed,obj_t0_checkpoint,obj_t15,obj_t30,obj_t60
no_restart,MS13d,8,127.582411,118.715189,118.715189,118.715
no_restart,MS13d,9,124.372102,121.760772,121.760772,121.761
no_restart,MS14d,1,138.581829,130.325066,126.418134,126.418
no_restart,MS14d,10,138.581829,128.382618,128.382618,128.383
no_restart,MS14d,2,138.581829,126.874961,126.874961,126.875
no_restart,MS14d,3,138.581829,130.897928,130.897928,130.517
no_restart,MS14d,4,138.581829,129.877177,129.877177,129.877
no_restart,MS14d,5,138.581829,131.441136,131.441136,131.441
no_restart,MS14d,6,138.581829,128.359278,128.359278,128.359
no_restart,MS14d,7,137.574933,131.894839,131.894839,131.48
no_restart,MS14d,8,138.581829,129.279762,129.279762,129.28
no_restart,MS14d,9,138.581829,133.269219,130.660017,130.66
no_restart,MS15d,1,102.467038,100.451654,99.944668,99.9447
no_restart,MS15d,10,103.035087,96.235748,96.235748,96.2357
no_restart,MS15d,2,101.651813,96.235748,96.235748,96.2357
no_restart,MS15d,3,104.391251,98.148854,98.148854,97.3678
no_restart,MS15d,4,100.167646,92.630865,92.630865,92.6309
no_restart,MS15d,5,104.062508,95.975113,95.975113,95.9751
no_restart,MS15d,6,103.562147,96.010538,96.010538,96.0105
no_restart,MS15d,7,103.047474,96.235748,94.697747,94.6977
no_restart,MS15d,8,105.292788,96.010538,94.697747,94.6834
no_restart,MS15d,9,100.948693,95.923931,95.923931,95.9239
no_restart,MS16d,1,112.681316,105.46657,105.293378,103.673
no_restart,MS16d,10,109.990752,102.885636,102.885636,102.886
no_restart,MS16d,2,113.251174,107.388334,105.211665,105.116
no_restart,MS16d,3,115.477357,110.395655,109.559896,109.56
no_restart,MS16d,4,111.211501,105.758597,104.263185,104.263
no_restart,MS16d,5,109.117355,104.675865,104.363931,103.722
no_restart,MS16d,6,111.652875,105.000358,103.520669,103.037
no_restart,MS16d,7,112.749035,107.033847,106.832137,104.063
no_restart,MS16d,8,113.460553,101.268629,101.268629,101.269
no_restart,MS16d,9,114.224225,109.582034,107.486679,107.487
no_restart,MS17d,1,256.660654,250.963989,250.963989,250.964
no_restart,MS17d,10,257.815194,248.502322,245.589335,245.283
no_restart,MS17d,2,260.727593,249.129016,247.547367,247.547
no_restart,MS17d,3,254.695256,252.369553,248.700358,248.7
no_restart,MS17d,4,256.086851,252.864779,248.784573,248.785
no_restart,MS17d,5,255.85713,251.464083,247.994266,247.351
no_restart,MS17d,6,255.910585,248.238911,248.238911,248.239
no_restart,MS17d,7,260.900334,247.705587,247.156546,247.157
no_restart,MS17d,8,253.553623,252.064219,252.009741,252.01
no_restart,MS17d,9,254.713258,251.11881,249.502353,246.29
no_restart,MS18d,1,406.535447,394.468015,394.468015,394.468
no_restart,MS18d,10,405.745151,400.388605,395.424625,392.455
no_restart,MS18d,2,408.634615,400.979481,397.582335,397.582
no_restart,MS18d,3,414.88022,402.369952,397.696295,397.696
no_restart,MS18d,4,415.648714,399.316783,398.149347,397.965
no_restart,MS18d,5,418.850998,404.189526,397.908871,397.445
